paris milan 643
paris cologne 405
paris brussels 262
paris frankfurt 519
berlin cologne 476
berlin munich 504
berlin warsaw 518
berlin amsterdam 576
berlin frankfurt 424
berlin prague 281
milan paris 643
milan rome 475
milan munich 348
milan frankfurt 513
rome milan 475
cologne paris 405
cologne berlin 476
cologne amsterdam 214
cologne brussels 185
cologne frankfurt 151
munich berlin 504
munich milan 348
munich vienna 355
munich frankfurt 304
vienna munich 355
vienna warsaw 557
vienna frankfurt 597
vienna prague 253
warsaw berlin 518 
warsaw vienna 557 
warsaw prague 515
amsterdam berlin 576
amsterdam cologne 214
amsterdam brussels 176 
brussels paris 262
brussels cologne 185
brussels amsterdam 176
frankfurt paris 519
frankfurt berlin 424
frankfurt milan 513
frankfurt cologne 151
frankfurt munich 304
frankfurt vienna 597
frankfurt prague 483
prague berlin 281
prague vienna 253
prague frankfurt 483
prague warsaw 515
